OBJECTID,DATE,< 20,20-29,30-39,40-49,50-59,60+,Not Reported
1,8/26/2022,10,117,219,80,28,7,0
2,9/2/2022, 15,136,247,95,32,9,0
3,9/9/2022,14, 146, 264, 105, 33, 9, 0
4,9/16/2022,14,151,286,113,36,9,0
5,9/23/2022,14,162,298,118,37,10,0
