OBJECTID,DATE,American Indian/Alaska Native,Asian,Black,Native Hawiian or Other Pacific Islander,White,Other,Not Reported
1,8/26/2022,6,6,264,1,66,20,98
2, 9/2/2022,7,7,307,1,85,22,105
